IncidentNumber	AgencyNumber	FromDate	DrugType	Address1	Address2	City	ZIP	LocationType1	LocationType2	SuspectNumber	Race	Age	Sex	TypeofCriminalActivity	OhioRevisedCode
"13-0181---05"	"OH0400100"	41322.8659722222	6.0	"MID CITY CLEANERS"	"1 BROADWAY STREET"	"JACKSON"	45640.0	47.0	0.0	1.0	"W"	46.0	"F"	"P"	"292511"
"13-0181---05"	"OH0400100"	41322.8659722222	6.0	"MID CITY CLEANERS"	"1 BROADWAY STREET"	"JACKSON"	45640.0	47.0	0.0	1.0	"W"	46.0	"F"	"P"	"292514"
"13-020072"	"OH0400200"	41311.70625	8.0	"PENN STATION APTS"	"EAST 2ND ST"	"WELLSTON"	45692.0	2.0	0.0	1.0	"W"	32.0	"M"	"P"	"292511C1"
"13-020072"	"OH0400200"	41311.70625	8.0	"PENN STATION APTS"	"EAST 2ND ST"	"WELLSTON"	45692.0	2.0	0.0	1.0	"W"	32.0	"M"	"P"	"292511C2"
"13-020072"	"OH0400200"	41311.70625	8.0	"PENN STATION APTS"	"EAST 2ND ST"	"WELLSTON"	45692.0	2.0	0.0	1.0	"W"	32.0	"M"	"P"	"292511C3"
"13-020090"	"OH0400200"	41318.8083333333	8.0	""	"11TH ST @ RAILROAD TRACKS"	"WELLSTON"	45692.0	47.0	0.0	1.0	"W"	20.0	"F"	"P"	"292511C1"
"13-020090"	"OH0400200"	41318.8083333333	8.0	""	"11TH ST @ RAILROAD TRACKS"	"WELLSTON"	45692.0	47.0	0.0	1.0	"W"	20.0	"F"	"P"	"292511C2"
"13-020090"	"OH0400200"	41318.8083333333	8.0	""	"11TH ST @ RAILROAD TRACKS"	"WELLSTON"	45692.0	47.0	0.0	1.0	"W"	20.0	"F"	"P"	"292511C3"
"13-020090"	"OH0400200"	41318.8083333333	8.0	""	"11TH ST @ RAILROAD TRACKS"	"WELLSTON"	45692.0	47.0	0.0	1.0	"W"	20.0	"F"	"P"	"292514"
"13-020105"	"OH0400200"	41324.9236111111	8.0	""	"132 W 13TH ST"	"WELLSTON"	45692.0	1.0	0.0	1.0	"W"	22.0	"F"	""	"292303"
"13-020105"	"OH0400200"	41324.9236111111	8.0	""	"132 W 13TH ST"	"WELLSTON"	45692.0	1.0	0.0	1.0	"W"	22.0	"F"	"D"	"292503C1"
"13-020105"	"OH0400200"	41324.9236111111	8.0	""	"132 W 13TH ST"	"WELLSTON"	45692.0	1.0	0.0	1.0	"W"	22.0	"F"	"D"	"292503C2"
"13-020105"	"OH0400200"	41324.9236111111	8.0	""	"132 W 13TH ST"	"WELLSTON"	45692.0	1.0	0.0	1.0	"W"	22.0	"F"	"D"	"292503C4"
"13-020105"	"OH0400200"	41324.9236111111	8.0	""	"132 W 13TH ST"	"WELLSTON"	45692.0	1.0	0.0	1.0	"W"	22.0	"F"	"P"	"292512"
"13-020105"	"OH0400200"	41324.9236111111	8.0	""	"132 W 13TH ST"	"WELLSTON"	45692.0	1.0	0.0	2.0	"W"	26.0	"M"	""	"292303"
"13-020105"	"OH0400200"	41324.9236111111	8.0	""	"132 W 13TH ST"	"WELLSTON"	45692.0	1.0	0.0	2.0	"W"	26.0	"M"	"D"	"292503C1"
"13-020105"	"OH0400200"	41324.9236111111	8.0	""	"132 W 13TH ST"	"WELLSTON"	45692.0	1.0	0.0	2.0	"W"	26.0	"M"	"D"	"292503C2"
"13-020105"	"OH0400200"	41324.9236111111	8.0	""	"132 W 13TH ST"	"WELLSTON"	45692.0	1.0	0.0	2.0	"W"	26.0	"M"	"D"	"292503C4"
"13-020105"	"OH0400200"	41324.9236111111	8.0	""	"132 W 13TH ST"	"WELLSTON"	45692.0	1.0	0.0	2.0	"W"	26.0	"M"	"P"	"292512"
"13-020105"	"OH0400200"	41324.9236111111	8.0	""	"132 W 13TH ST"	"WELLSTON"	45692.0	1.0	0.0	3.0	"W"	49.0	"M"	""	"292303"
"13-020105"	"OH0400200"	41324.9236111111	8.0	""	"132 W 13TH ST"	"WELLSTON"	45692.0	1.0	0.0	3.0	"W"	49.0	"M"	"D"	"292503C1"
