IncidentNumber	AgencyNumber	FromDate	DrugType	Address1	Address2	City	ZIP	LocationType1	LocationType2	SuspectNumber	Race	Age	Sex	TypeofCriminalActivity	OhioRevisedCode
"01-0372---14"	"OH0730100"	41663.7236111111	1.0	""	"D 3906 STANTON AVE"	"NEW BOSTON"	45662.0	1.0	0.0	1.0	"W"	21.0	"M"	"D"	"292503C6"
"01-0372---14"	"OH0730100"	41663.7236111111	1.0	""	"D 3906 STANTON AVE"	"NEW BOSTON"	45662.0	1.0	0.0	1.0	"W"	21.0	"M"	"O"	"292513B"
"01-0372---14"	"OH0730100"	41663.7236111111	1.0	""	"D 3906 STANTON AVE"	"NEW BOSTON"	45662.0	1.0	0.0	1.0	"W"	21.0	"M"	"P"	"292511C6"
"01-0372---14"	"OH0730100"	41663.7236111111	1.0	""	"D 3906 STANTON AVE"	"NEW BOSTON"	45662.0	1.0	0.0	1.0	"W"	21.0	"M"	"P"	"292512"
"01-0372---14"	"OH0730100"	41663.7236111111	1.0	""	"D 3906 STANTON AVE"	"NEW BOSTON"	45662.0	1.0	0.0	1.0	"W"	21.0	"M"	"P"	"292514"
"01-0372---14"	"OH0730100"	41663.7236111111	1.0	""	"D 3906 STANTON AVE"	"NEW BOSTON"	45662.0	1.0	0.0	2.0	"W"	22.0	"F"	"D"	"292503C6"
"01-0372---14"	"OH0730100"	41663.7236111111	1.0	""	"D 3906 STANTON AVE"	"NEW BOSTON"	45662.0	1.0	0.0	2.0	"W"	22.0	"F"	"O"	"292513B"
"01-0372---14"	"OH0730100"	41663.7236111111	1.0	""	"D 3906 STANTON AVE"	"NEW BOSTON"	45662.0	1.0	0.0	2.0	"W"	22.0	"F"	"P"	"292511C6"
"01-0372---14"	"OH0730100"	41663.7236111111	1.0	""	"D 3906 STANTON AVE"	"NEW BOSTON"	45662.0	1.0	0.0	2.0	"W"	22.0	"F"	"P"	"292512"
"01-0372---14"	"OH0730100"	41663.7236111111	1.0	""	"D 3906 STANTON AVE"	"NEW BOSTON"	45662.0	1.0	0.0	2.0	"W"	22.0	"F"	"P"	"292514"
"01-0372---14"	"OH0730100"	41663.7236111111	8.0	""	"D 3906 STANTON AVE"	"NEW BOSTON"	45662.0	1.0	0.0	1.0	"W"	21.0	"M"	"D"	"292503C6"
